diff,distance,value
298781,23.60931783,266
298800,23.60931783,261
298791,23.60931783,269
298796,23.60931783,262
298893,23.73969527,195
298854,23.64507196,234
298825,23.64507196,259
298815,23.64507196,247
298820,23.64507196,252
298840,23.64507196,249
298830,23.73969527,257
298835,23.73969527,251
298888,23.73969527,204
298869,23.73969527,245
298859,23.64507196,235
298864,23.73969527,240
298884,23.73969527,218
298874,23.73969527,233
298879,23.73969527,234
300513,24.11872409,235
299089,23.45599055,235
298942,23.73969527,263
298937,23.73969527,247
298933,23.73969527,250
298928,23.7756833,240
298923,23.7756833,237
300508,24.05944946,229
299084,23.45599055,228
299035,23.60931783,217
299030,23.60931783,208
299025,23.60931783,205
298947,23.73969527,278
299021,23.60931783,204
298981,23.64507196,227
298962,23.73969527,263
298952,23.73969527,275
298957,23.73969527,276
298977,23.60931783,228
298967,23.73969527,258
298972,23.64507196,247
299016,23.60931783,200
298996,23.60931783,205
298986,23.64507196,220
298991,23.60931783,214
299011,23.60931783,198
299001,23.60931783,197
299006,23.60931783,196
300504,24.05944946,216
300254,24.05944946,239
300249,24.05944946,234
300191,24.05944946,277
299079,23.5505035,221
299070,23.5505035,219
299065,23.5505035,213
299074,23.58678108,218
300186,24.05944946,264
299060,23.5505035,221
299045,23.5505035,222
299040,23.64507196,215
300181,24.05944946,252
299055,23.5505035,223
299050,23.5505035,221
300244,24.05944946,238
300220,24.05944946,254
300200,24.05944946,277
300195,24.05944946,274
300215,24.05944946,263
300205,24.05944946,279
300210,24.05944946,270
300240,24.05944946,249
300230,24.02388782,258
300225,24.02388782,255
300235,24.02388782,240
300499,24.15414568,211
300342,24.15414568,248
300264,24.05944946,225
300259,24.05944946,235
300337,24.15414568,249
300298,24.05944946,255
300279,24.05944946,239
300269,24.05944946,233
300274,24.05944946,239
300293,24.05944946,252
300284,24.05944946,239
300288,24.05944946,246
300332,24.15414568,250
300313,24.05944946,246
300303,24.05944946,256
300308,24.05944946,252
300328,24.15414568,255
300318,24.15414568,244
300323,24.15414568,246
300494,24.15414568,212
300416,24.15414568,270
300376,24.15414568,250
300357,24.15414568,236
300347,24.15414568,245
300352,24.15414568,242
300372,24.15414568,250
300362,24.15414568,237
300367,24.15414568,242
300411,24.15414568,262
300391,24.15414568,250
300381,24.15414568,254
300386,24.15414568,250
300406,24.15414568,256
300396,24.15414568,263
300401,24.15414568,257
300489,24.15414568,216
300450,24.15414568,240
300430,24.15414568,250
300420,24.15414568,262
300425,24.15414568,254
300445,24.15414568,245
300435,24.15414568,250
300440,24.15414568,250
300484,24.15414568,222
300464,24.15414568,229
300455,24.15414568,232
300460,24.15414568,235
300479,24.15414568,219
300469,24.15414568,222
300474,24.15414568,215
302031,24.4035406,233
301291,23.98870003,220
301164,23.95388773,222
300880,24.17870123,216
300773,24.21361205,279
300645,24.24889459,220
300567,24.11872409,243
300528,24.11872409,247
300523,24.11872409,248
300562,24.11872409,249
300543,24.11872409,254
300533,24.11872409,247
300538,24.11872409,252
300557,24.11872409,249
300548,24.11872409,257
300553,24.11872409,257
300641,24.24889459,220
300601,24.21361205,216
300582,24.21361205,220
300572,24.21361205,235
300577,24.21361205,228
300597,24.21361205,219
300587,24.21361205,218
300592,24.21361205,226
300636,24.24889459,222
300616,24.15414568,224
300606,24.11872409,219
300611,24.15414568,216
300631,24.24889459,224
300621,24.15414568,217
300626,24.24889459,216
300768,24.21361205,270
300714,24.21361205,245
300675,24.24889459,237
300655,24.24889459,227
300650,24.24889459,224
300670,24.24889459,241
300660,24.24889459,238
300665,24.24889459,235
300709,24.21361205,246
300690,24.21361205,239
300680,24.21361205,246
300685,24.21361205,247
300704,24.21361205,253
300694,24.21361205,242
300699,24.21361205,256
300763,24.21361205,267
300743,24.21361205,260
300724,24.21361205,246
300719,24.21361205,245
300738,24.21361205,253
300729,24.21361205,254
300734,24.21361205,258
300758,24.21361205,258
300753,24.21361205,265
300748,24.21361205,263
300875,24.17870123,229
300871,24.21361205,229
300792,24.30855108,275
300787,24.21361205,274
300782,24.21361205,279
300778,24.21361205,271
300866,24.21361205,242
300827,24.17870123,274
300807,24.30855108,277
300797,24.30855108,274
300802,24.30855108,271
300822,24.27377723,281
300812,24.30855108,278
300817,24.30855108,276
300861,24.21361205,244
300841,24.17870123,256
300831,24.17870123,261
300836,24.17870123,266
300856,24.21361205,245
300846,24.21361205,253
300851,24.21361205,246
301159,23.95388773,226
301032,24.08367529,202
301022,24.17870123,199
300944,24.17870123,260
300905,24.17870123,224
300885,24.17870123,212
300900,24.17870123,215
300890,24.17870123,218
300895,24.17870123,214
300939,24.17870123,257
300919,24.17870123,235
300910,24.17870123,228
300915,24.17870123,236
300934,24.17870123,252
300924,24.17870123,234
300929,24.17870123,247
301017,24.17870123,192
300978,24.27377723,237
300959,24.17870123,254
300949,24.17870123,254
300954,24.17870123,254
300973,24.27377723,240
300964,24.30855108,244
300968,24.27377723,252
301013,24.17870123,194
300993,24.27377723,215
300983,24.27377723,223
300988,24.27377723,218
301008,24.27377723,196
300998,24.27377723,208
301003,24.27377723,201
301027,24.17870123,193
301154,23.95388773,228
301086,24.08367529,207
301037,24.08367529,201
301081,24.08367529,212
301042,24.08367529,203
301076,24.08367529,220
301057,24.08367529,210
301047,24.08367529,201
301052,24.08367529,199
301071,24.08367529,227
301061,24.08367529,224
301066,24.08367529,231
301149,23.85882481,225
301110,23.98870003,213
301091,24.04900091,202
291551,25.08340641,43
301105,23.98870003,210
301096,24.08367529,196
301101,23.98870003,203
301145,23.98870003,225
301125,23.98870003,208
301115,23.98870003,212
301120,23.98870003,209
301140,23.98870003,215
301130,23.98870003,209
301135,23.98870003,216
301286,23.98870003,213
301282,23.98870003,219
301277,23.98870003,218
301223,23.98870003,214
301184,23.98870003,213
301179,23.98870003,213
301169,23.95388773,224
301174,23.98870003,225
301218,23.98870003,222
301198,23.98870003,218
301189,23.98870003,209
301193,23.98870003,213
301213,23.98870003,223
301203,23.98870003,212
301208,23.98870003,215
301272,23.98870003,214
301252,23.89377603,221
301233,23.89377603,210
301228,23.89377603,216
301247,23.89377603,232
301238,23.89377603,221
301242,23.89377603,227
301267,23.98870003,213
301262,23.89377603,216
301257,23.89377603,214
302026,24.4035406,225
301654,24.23937562,183
301546,24.04900091,226
301428,24.11872409,210
301350,23.92910384,171
301311,24.02388782,209
301306,24.02388782,211
301296,23.98870003,213
301301,24.02388782,213
301345,23.92910384,176
301326,23.92910384,200
301316,24.02388782,213
301321,23.92910384,204
301340,23.92910384,180
301331,23.92910384,189
301335,23.92910384,177
301424,23.98870003,221
301384,24.02388782,168
301365,24.02388782,158
301355,23.92910384,171
301360,24.02388782,160
301380,24.02388782,167
301370,24.02388782,169
301375,24.02388782,163
301419,23.98870003,221
301399,24.11872409,198
301389,24.02388782,171
301394,24.11872409,189
301414,23.98870003,216
301404,24.11872409,211
301409,23.98870003,207
301541,24.04900091,226
301497,24.08367529,251
301458,24.02388782,224
301438,24.02388782,209
301433,24.02388782,208
301453,24.02388782,217
301443,24.02388782,218
301448,24.02388782,219
301492,24.08367529,241
301473,24.08367529,229
301463,24.02388782,225
301468,23.98870003,234
301487,24.08367529,241
301477,24.08367529,225
301482,24.08367529,230
301536,24.04900091,225
301526,24.04900091,211
301507,24.08367529,243
301502,24.08367529,241
301522,24.04900091,217
301512,24.08367529,243
301517,24.04900091,223
301531,24.04900091,214
301649,24.23937562,179
301644,24.23937562,178
301566,24.04900091,210
301561,24.04900091,223
301556,24.04900091,224
301551,24.04900091,233
301639,24.23937562,181
301600,24.11000117,182
301580,24.14416373,203
301570,24.04900091,204
301575,24.14416373,212
301595,24.14416373,190
301585,24.14416373,200
301590,24.14416373,197
301634,24.23937562,179
301615,24.11000117,177
301605,24.11000117,178
301610,24.11000117,178
301629,24.23937562,189
301619,24.11000117,181
301624,24.23937562,189
302021,24.4035406,217
301801,24.20534786,229
301796,24.20534786,229
301717,24.23937562,187
301678,24.23937562,171
301659,24.23937562,183
301673,24.23937562,176
301663,24.23937562,186
301668,24.23937562,177
301712,24.23937562,183
301693,24.23937562,174
301683,24.23937562,172
301688,24.23937562,175
301708,24.23937562,185
301698,24.23937562,175
301703,24.23937562,187
301791,24.20534786,241
301752,24.20534786,243
301732,24.23937562,195
301722,24.23937562,184
301727,24.23937562,194
301747,24.20534786,235
301737,24.20534786,219
301742,24.11000117,224
301786,24.20534786,236
301766,24.20534786,241
301757,24.20534786,246
301762,24.20534786,242
301781,24.20534786,241
301771,24.20534786,246
301776,24.20534786,241
302016,24.30855108,204
301859,24.33463601,196
301854,24.33463601,203
301815,24.20534786,215
301810,24.20534786,212
301806,24.20534786,217
301850,24.33463601,213
301830,24.20534786,201
301820,24.20534786,210
301825,24.20534786,207
