diff,distance,cos,sin,value
898913,13.62646748,-0.951525626,-0.307569478,291
898908,13.72613409,-0.952235032,-0.305366081,290
898903,13.83213514,-0.952971457,-0.303060064,287
898898,13.93711679,-0.953684749,-0.300807912,292
898893,14.03644127,-0.954342488,-0.298714606,290
898888,14.13085536,-0.954910059,-0.296895232,272
898883,14.21753958,-0.955480018,-0.295055818,267
898878,14.29526909,-0.956004529,-0.293351906,263
898874,14.35557041,-0.956361491,-0.292186069,251
898869,14.4337044,-0.956818641,-0.290685549,245
898864,14.5107317,-0.957193132,-0.289450009,238
898859,14.59895377,-0.957402365,-0.288757184,222
898854,14.68620696,-0.957169026,-0.289529716,222
898849,14.77877091,-0.956849759,-0.290583103,207
898844,14.84241605,-0.956636399,-0.291284739,193
898839,14.91961044,-0.956333873,-0.292276451,183
898834,15.00098015,-0.955964572,-0.29348209,175
898829,15.08876482,-0.955570489,-0.294762685,179
898824,15.18365154,-0.955337536,-0.295516822,177
898820,15.26527715,-0.955398493,-0.295319692,170
898815,15.36616099,-0.955830205,-0.29391941,175
898810,15.45807084,-0.956659744,-0.291208059,162
898805,15.54592607,-0.957572253,-0.288193303,159
898800,15.61767777,-0.958311263,-0.285726309,164
898795,15.68920146,-0.959013082,-0.283361798,163
898790,15.74954586,-0.959601147,-0.281363891,165
898785,15.82139491,-0.960314676,-0.278918847,165
898780,15.89894316,-0.961211165,-0.275813518,166
898775,15.97715634,-0.962244875,-0.272185234,166
898770,16.0556562,-0.963244214,-0.268627222,166
898766,16.11407503,-0.963994976,-0.26592045,178
898761,16.18887627,-0.964903647,-0.262604174,185
898756,16.26399505,-0.965709607,-0.259624643,182
898751,16.34222719,-0.966267396,-0.257540908,192
898746,16.42356739,-0.966480244,-0.256740995,191
898741,16.5047149,-0.966442621,-0.256882581,192
898736,16.58889401,-0.966289883,-0.257456525,182
898731,16.67422633,-0.966137273,-0.25802862,180
898726,16.75403247,-0.966054084,-0.258339907,181
898721,16.83384615,-0.966198696,-0.257798528,186
898716,16.91695485,-0.966659543,-0.256065085,176
898712,16.99610715,-0.967501569,-0.25286501,180
898707,17.09350919,-0.968522398,-0.248926425,166
898702,17.19049948,-0.969519828,-0.245012861,156
898697,17.28920734,-0.970458166,-0.241269451,146
898692,17.38210796,-0.971287949,-0.237906955,137
898687,17.47680678,-0.972306551,-0.23370916,133
898682,17.56680752,-0.973141206,-0.230209022,125
898677,17.64096185,-0.973812478,-0.227352715,139
898672,17.7209546,-0.974525838,-0.224275259,142
898667,17.80055524,-0.97518809,-0.221377932,143
898662,17.88109887,-0.975813936,-0.218602748,137
898658,17.94607304,-0.976322285,-0.216321047,146
898653,18.02940079,-0.976926702,-0.213574857,140
898648,18.11666154,-0.977450899,-0.211162827,152
898643,18.20633949,-0.977835539,-0.209374448,160
898638,18.29416203,-0.97812364,-0.208024385,167
898633,18.37974903,-0.978377306,-0.206828063,174
898628,18.46289533,-0.978613485,-0.205707673,186
898623,18.54427963,-0.978838309,-0.2046352,195
898618,18.62102424,-0.979041748,-0.203659657,185
898613,18.69836638,-0.979255787,-0.202627995,188
898609,18.75687584,-0.979412596,-0.201868685,187
898604,18.83143738,-0.979606056,-0.200927787,184
898599,18.91040034,-0.979806375,-0.199948662,185
898594,18.99186527,-0.980015024,-0.198923485,187
898589,19.07176924,-0.980211961,-0.197950779,167
898584,19.14827483,-0.980307039,-0.19747939,159
898579,19.23426372,-0.980249204,-0.197766272,156
898574,19.31339002,-0.98005563,-0.198723329,149
898569,19.38007171,-0.97986741,-0.19964934,140
898564,19.41900127,-0.979705604,-0.200441834,132
898560,19.42255336,-0.979534903,-0.201274372,128
898555,19.41936427,-0.979419928,-0.20183311,117
898550,19.41101295,-0.979154092,-0.203118841,113
898545,19.37959124,-0.979114359,-0.203310285,114
898540,19.33637755,-0.979301184,-0.202408475,104
898535,19.31536674,-0.979414033,-0.201861717,97
898530,19.31049616,-0.979499431,-0.201446929,100
898525,19.30885038,-0.979495988,-0.201463667,100
898520,19.30885038,-0.979495988,-0.201463667,95
898515,19.30885038,-0.979495988,-0.201463667,92
898510,19.30885038,-0.979495988,-0.201463667,90
898506,19.30885038,-0.979495988,-0.201463667,90
898501,19.30882614,-0.979497848,-0.201454624,92
898496,19.30882614,-0.979497848,-0.201454624,98
898491,19.30882614,-0.979497848,-0.201454624,94
898486,19.30880189,-0.979499708,-0.201445581,93
898481,19.30880189,-0.979499708,-0.201445581,97
898476,19.30880189,-0.979499708,-0.201445581,101
898471,19.309009,-0.979498231,-0.201452765,98
898466,19.309009,-0.979498231,-0.201452765,96
898461,19.309009,-0.979498231,-0.201452765,104
898456,19.30903324,-0.979496371,-0.201461807,103
898452,19.30921611,-0.979496753,-0.201459948,106
898447,19.30924035,-0.979494893,-0.20146899,107
898442,19.30924035,-0.979494893,-0.20146899,108
898437,19.30905749,-0.979494511,-0.20147085,103
898432,19.30903324,-0.979496371,-0.201461807,104
898427,19.30903324,-0.979496371,-0.201461807,103
898422,19.30903324,-0.979496371,-0.201461807,100
898417,19.309009,-0.979498231,-0.201452765,97
898412,19.30898476,-0.97950009,-0.201443722,97
898407,19.30896052,-0.97950195,-0.201434679,97
898402,19.30896052,-0.97950195,-0.201434679,93
898398,19.30896052,-0.97950195,-0.201434679,96
898393,19.30896052,-0.97950195,-0.201434679,92
898388,19.30893627,-0.97950381,-0.201425635,87
898383,19.30893627,-0.97950381,-0.201425635,84
898378,19.30893627,-0.97950381,-0.201425635,85
898373,19.30891203,-0.979505669,-0.201416592,85
898368,19.3090949,-0.979506052,-0.201414733,88
898363,19.30907066,-0.979507911,-0.20140569,90
898358,19.30907066,-0.979507911,-0.20140569,94
898353,19.3088878,-0.979507529,-0.201407549,101
898348,19.30886356,-0.979509388,-0.201398506,105
898344,19.30886356,-0.979509388,-0.201398506,101
898339,19.30870493,-0.979507147,-0.201409409,106
898334,19.30868069,-0.979509006,-0.201400365,112
